23,7,7,7,7,1,2,2,2,1,2,2,2,1,7,7,7,7,48,41,37
23,7,7,1,7,1,7,7,7,7,2,1,7,1,1,7,7,7,48,41,0
0,7,7,1,2,1,7,7,7,1,2,1,2,1,7,7,7,7,48,41,37
0,7,7,1,2,1,7,7,7,1,2,1,2,1,7,7,7,7,48,41,37
23,7,1,2,2,1,2,7,7,7,1,2,2,1,7,7,7,7,48,41,36
23,7,1,2,2,1,2,7,7,7,1,2,2,1,7,7,7,7,48,41,37
23,7,2,1,10,2,2,7,7,7,1,6,6,6,1,7,7,7,48,41,38
23,7,2,1,10,2,2,7,7,7,1,6,6,6,1,7,7,7,48,41,38
23,5,7,7,7,1,7,5,6,6,6,6,6,7,6,4,5,5,48,41,36
0,7,1,10,2,1,2,1,1,1,1,10,2,1,1,7,7,7,48,41,37
23,7,7,7,7,1,10,2,7,1,10,2,1,7,7,7,7,7,48,41,38
23,7,7,7,7,1,10,2,7,1,10,2,1,7,7,7,7,7,48,41,37
23,7,7,7,7,1,10,2,7,1,10,2,1,7,7,7,7,7,48,41,38
23,7,7,7,7,1,10,2,7,1,10,2,1,7,7,7,7,7,48,41,38
23,7,7,7,7,1,10,2,7,1,10,2,1,7,7,7,7,7,48,41,31
23,7,7,7,7,1,10,2,7,1,10,2,1,7,7,7,7,7,48,41,38
23,7,7,7,2,1,10,2,1,7,10,2,1,7,7,7,7,7,48,41,37
23,7,7,7,2,1,2,1,7,7,10,2,1,7,7,7,7,7,48,41,37
23,7,7,7,2,1,10,2,1,7,10,2,1,7,7,7,7,7,48,41,38
23,7,7,7,2,1,2,1,7,7,10,2,1,7,7,7,7,7,48,41,38
23,7,7,7,7,1,10,2,7,1,2,7,1,7,7,7,7,7,48,41,38
23,7,7,7,7,1,10,2,7,1,2,7,1,7,7,7,7,7,48,41,36
23,7,7,7,7,1,10,2,7,1,2,7,1,7,7,7,7,7,48,41,38
23,7,7,7,7,1,10,2,7,1,2,7,1,7,7,7,7,7,48,41,38
23,7,7,7,7,1,10,2,7,1,2,7,1,7,7,7,7,7,48,41,38
23,7,7,7,7,1,10,2,7,1,2,7,1,7,7,7,7,7,48,41,38
23,7,7,7,7,1,10,2,7,1,2,7,1,7,7,7,7,7,48,41,38
23,7,7,7,7,1,10,2,7,1,2,7,1,7,7,7,7,7,48,41,38
23,7,7,7,7,1,10,2,7,1,2,7,1,7,7,7,7,7,48,41,37
